"Client ID",Name,Age,"Location ID","Joined Bank","Banking Contact",Nationality,Occupation,"Fee Structure","Loyalty Classification","Estimated Income","Superannuation Savings","Amount of Credit Cards","Credit Card Balance","Bank Loans","Bank Deposits","Checking Accounts","Saving Accounts","Foreign Currency Account","Business Lending","Properties Owned","Risk Weighting",Gender,InvestmentAdvisor,BankingRelationship,High_Potential_Lead
IND19011,"Lillian Burns",47,33271,07/11/03,"Paul Larson",European,"Sales associate",Mid,Silver,456003.99,25171.2,2,7969.46,1248952.37,1050537.35,674555.56,237200.27,71113.77,1347657.84,2,4,Female,"Joe Carroll",Retail,No
IND86703,"Lillian Bell",41,11172,16/02/18,"Stephen Payne",European,"Biostatistician i",High,Platinum,71422.04,32993.52,1,4253.34,315175.42,38234.02,33404.46,7799.74,38428.49,813247.12,2,2,Female,"Steve Sanchez",Retail,No
IND23640,"Phillip Perez",36,18659,02/04/18,"Benjamin Kim",European,"Accounting assistant iii",Low,Jade,39077.38,14707.68,2,1305.38,1187138.91,717787.7,144670.39,242934.97,11997.93,1231614.29,0,2,Female,"Lawrence Sanchez",Retail,No
IND40136,"John Cruz",26,27140,25/09/19,"Victor Martinez",European,"Developer iv",Mid,Silver,260826.75,53468.1,3,270.6,804359.98,529324.3,295539.4,106261.85,46060.06,296849.18,0,3,Male,"Victor Gutierrez",Institutional,No
IND76215,"Joseph Thomas",74,18521,07/01/99,"Jeremy Vasquez",American,"Engineer iv",Low,Platinum,334331.81,18591.75,2,1029.3,164253.29,641260.15,500709.98,396615.01,46006.43,1094810.02,1,3,Female,"Daniel Carroll","Private Bank",No
IND93216,"Anthony Green",47,40585,11/02/12,"Dennis Ruiz",Asian,"Software consultant",High,Jade,61398.26,20668.94,1,550.75,360003.87,277273.4,305000.74,109324.94,2850.73,118884.97,2,1,Male,"Carl Anderson","Private Bank",No
IND54572,"Terry Hanson",82,4749,11/04/07,"Phillip Peters",European,"Software test engineer ii",High,Gold,63246.3,18575.7,1,2914.18,448652.7,537205.52,362849.34,93209.87,17124.28,237993.7,0,1,Female,"Nicholas Ward","Private Bank",No
IND18649,"Norma Perez",25,7639,24/03/19,"George Lewis",European,"Accountant ii",Mid,Platinum,158091.86,33824.44,3,1080.03,207662.76,177146.44,177146.44,70553.15,17133.59,235133.69,0,2,Male,"Victor Dean","Private Bank",No
IND51790,"Ann Bradley",44,6517,10/09/16,"Dennis Morris",European,"Software engineer ii",Mid,Jade,131729.85,6664.06,2,6215.34,863722.1,359436.79,161746.56,166059.8,41209.82,506592.1,2,2,Male,"Jeremy Porter","Private Bank",No
IND17740,"Daniel Morrison",38,38743,18/06/11,"Frank Brown",Asian,"Health coach iv",High,Gold,116926.94,18431.28,2,3828.2,1049088.92,463600.46,200893.53,58413.66,7382.34,1299697.25,1,2,Female,"Ernest Knight","Private Bank",No
IND14798,"Beverly Griffin",74,21413,24/09/14,"Shawn Wallace",American,"Health coach i",High,Silver,19637.78,9527.23,2,78.14,24331.27,150917.77,83660.94,40993.86,17286.26,100054.72,0,1,Male,"Victor Rogers",Commercial,No
IND60926,"Virginia Greene",62,7197,13/12/95,"Phillip Peters",American,"Electrical engineer",Mid,Jade,150304.49,7326.44,1,767.06,523866.09,363305.25,199374.83,224185.92,33854.22,607800.07,1,2,Male,"Eugene Cunningham",Retail,No
IND57710,"Antonio Ruiz",23,27256,05/11/03,"Ernest Rivera",European,"Statistician i",Low,Jade,52109.13,14277.05,1,209.68,205552.05,329191.59,116949.64,88665.16,6681.62,1148304.5,1,1,Male,"Joe Carroll",Institutional,No
IND71795,"John Chapman",68,21290,23/08/07,"Keith Griffin",European,"Programmer analyst iii",Mid,Platinum,156091.75,20609.04,3,382.87,707577.9,435466.02,112495.39,252896.89,35301.62,837133.63,2,1,Male,"Steve Sanchez","Private Bank",No
IND98220,"Ruth Bishop",79,3957,24/01/20,"Joe Price",American,"Human resources assistant ii",High,Jade,338383.13,57267.05,1,3505.86,1565513.72,730384.02,497152.15,144603.76,74778.17,884890.55,1,4,Male,"Lawrence Sanchez",Commercial,No
IND91662,"Alice Chavez",29,39668,21/02/19,"Jerry Green",European,"Assistant professor",High,Silver,198553.59,20851.74,1,5581.31,414518.57,1144704.01,696263.26,570935.88,40208.75,1522411.23,3,4,Female,"Peter Castillo",Retail,No
IND18901,"Heather Palmer",52,374,05/11/02,"Stephen Payne",European,"Accounting assistant iii",Mid,Silver,190119.93,47110.05,1,3525.21,527884.11,99616.37,122860.19,23741.9,6920.94,136723.47,1,2,Male,"Victor Gutierrez",Retail,No
IND49888,"Louis Banks",68,31302,26/01/03,"Paul Larson",American,"Administrative assistant i",Mid,Jade,147956.79,52216.52,1,2977.86,701005.58,720211.85,302231.76,279467.92,23058.96,1504310.04,3,2,Female,"Daniel Carroll",Retail,No
IND76081,"Bobby Gordon",41,23190,02/01/10,"Nicholas Cunningham",Australian,"Geologist iv",Mid,Gold,91071.75,33111.54,1,8062.65,677123.94,558283.3,298923.34,147703.3,7880.76,1554534.94,0,2,Male,"Carl Anderson",Institutional,No
IND93705,"Randy Gardner",70,18488,28/10/20,"Paul Holmes",American,"Help desk operator",Mid,Gold,96545.37,23191.74,1,3386.45,1104753.03,1268890.97,630243.86,252097.54,39556.05,1941061.87,3,2,Male,"Nicholas Ward",Institutional,No
IND52847,"Eric Burke",32,8566,19/06/15,"Samuel Fowler",Asian,"Assistant media planner",High,Jade,63765,11354,1,2644.75,1012372.67,1568405.32,541210.29,478805.43,62053.29,1665045.85,3,2,Female,"Fred Bryant","Private Bank",No
IND24592,"Martin Shaw",47,10123,18/09/07,"Carl Nguyen",American,"Technical writer",Mid,Jade,191715.4,31923.72,1,1296.45,402401.84,269460.7,316098.13,121257.32,19337.29,673780.44,0,2,Male,"Ryan Taylor","Private Bank",Yes
IND85060,"Randy Wheeler",24,8325,15/02/06,"Roger Alexander",European,"Software consultant",High,Platinum,157167.47,31498.25,1,1909.3,597244.53,262988.54,128881.8,51169.56,42714.8,836453.63,3,1,Male,"Nicholas Morrison","Private Bank",No
IND89139,"Matthew Brown",84,23184,09/07/14,"Joshua Ryan",European,"Administrative assistant iv",Low,Gold,101929.59,13019.3,1,1163.81,614181.3,445914.24,137911.62,373280.79,12590.02,516128.95,3,1,Female,"Jack Phillips","Private Bank",No
IND81423,"Dennis Hanson",29,24727,01/03/09,"Benjamin Kim",American,Recruiter,High,Jade,40985.49,19729.5,3,646.13,358194.38,186144.38,114664.94,37333.12,13412.63,222160.88,1,1,Male,"Juan Ramirez","Private Bank",No
IND85541,"Alan Bennett",85,9136,12/09/18,"Dennis Morris",African,"Staff scientist",High,Jade,109218.7,6820.8,1,2767.3,587928.77,198995.43,128873.23,68530.24,13413.79,566786.3,2,1,Male,"Gregory Boyd","Private Bank",No
IND59219,"Helen Jenkins",51,10186,30/10/14,"Stephen Payne",European,"Web developer iii",High,Jade,174258.52,34182.52,1,5185.78,648432.67,1125389.67,830895.18,198783.78,36318.33,452950.77,3,3,Male,"Victor Dean",Commercial,Yes
IND43444,"Katherine Myers",59,33070,14/11/18,"Shawn Cook",European,"Senior developer",High,Jade,74059.23,14702.6,2,1361.56,374815.99,384271.05,216865.84,124336.41,8446.4,962931.99,2,1,Female,"Jeremy Porter",Commercial,No
IND85299,"Scott Hughes",84,2874,22/07/19,"Shawn Cook",American,"Health coach iv",High,Silver,158874.14,38794.28,1,2366.28,261364.76,127418.48,101648.45,46915.77,40839.46,334072.22,0,2,Male,"Ernest Knight",Retail,No
IND58136,"Barbara Larson",69,18759,10/01/20,"Nicholas Simmons",American,"Office assistant ii",Mid,Jade,71958.9,13998.9,1,2756.83,124510.61,199185.62,120782.77,81093.97,15957.53,639874.92,1,1,Female,"Eric Shaw",Institutional,No
IND35725,"Tammy Willis",17,29867,02/11/12,"Jerry Green",European,Operator,High,Jade,189074.19,13258.42,1,4138.78,291504.55,247346.43,81405.16,162184.12,11482.62,358381.36,3,3,Female,"Joe Carroll","Private Bank",No
IND15648,"Aaron Williams",78,12708,06/01/05,"Chris Armstrong",Australian,"Software engineer iii",High,Platinum,74408.69,28689.62,2,494.76,24949.1,188138.63,218375.19,61145.05,12141.52,326434.35,2,1,Female,"Steve Sanchez",Commercial,No
IND48116,"Lawrence Gibson",25,2134,06/06/19,"Jonathan Hawkins",African,"Dental hygienist",High,Jade,447928.06,42888.81,1,3074.93,841124.62,611852.17,222491.7,457697.21,33497.73,347546.25,3,5,Female,"Lawrence Sanchez",Retail,No
IND28531,"Ronald Burns",61,449,20/08/01,"Joshua Little",Australian,"Web designer i",Mid,Gold,309939.21,51303.6,2,10999.17,1198037.84,1457194.61,691706.3,145258.32,44952.26,3619311.37,3,4,Female,"Peter Castillo",Retail,No
IND80929,"Mary Austin",35,12694,20/10/21,"Joshua Ryan",European,"Vp marketing",High,Silver,263452.26,17416.8,1,3107.16,0,687595.13,297957.89,507980,16429.39,980875.66,2,2,Male,"Carl Anderson",Institutional,Yes
IND40714,"Steven Wilson",21,40567,10/05/04,"James Castillo",European,"Senior editor",Low,Silver,404760.25,41342.34,2,4733.35,1022752.85,425498.09,212749.04,145323.96,64179.71,477400.93,0,3,Male,"Nicholas Ward","Private Bank",No
IND48405,"Joe Lawrence",23,5800,19/12/04,"Dennis Morris",European,"Civil engineer",High,Gold,122608.89,31945.22,1,226.91,248995.76,167320.36,182304.28,54616.36,24666.31,166961.63,2,2,Female,"Victor Dean","Private Bank",No
IND52634,"Willie Price",24,25890,10/12/08,"Douglas Tucker",European,"Media manager i",Mid,Jade,72688.95,5604.02,1,2577.26,44247.13,47024.48,16596.87,24784.67,24564.97,362233.8,1,1,Female,"Jeremy Porter","Private Bank",No
IND18163,"Kevin Perez",50,31222,18/05/20,"Frank Brown",European,Nurse,Mid,Gold,96295.61,23986.83,1,1323.88,311472.63,193153.03,136197.65,60174.6,21291.85,396610.18,2,2,Female,"Ernest Knight","Private Bank",No
IND94008,"Ruth Cook",20,32556,14/12/96,"Roger Alexander",American,"Accountant iii",Mid,Jade,127182.69,10617.09,3,3142.39,92065.37,781027.69,183771.22,567065.49,24086.65,613018.84,2,1,Female,"Eric Shaw","Private Bank",No
IND53034,"Bruce Vasquez",49,28065,19/05/96,"Bruce Porter",European,"Senior quality engineer",High,Gold,86309.17,19088.42,1,954.95,184129.95,136811.36,39799.67,71888.15,11832.68,506381.3,2,1,Male,"Kevin Kim","Private Bank",No
IND25702,"Christopher Cox",76,15463,06/12/15,"Patrick Graham",American,"Administrative assistant iv",Mid,Silver,302021.94,5907.2,3,825.52,1259346.41,462110.27,75017.9,137282.76,23172.43,2366879.7,1,2,Male,"Eugene Cunningham",Commercial,No
IND34798,"Craig Myers",29,41743,14/02/20,"Victor Martinez",European,"Vp accounting",High,Jade,120617.67,15025.68,1,1932.43,575222.32,588831.44,455869.5,122324.98,16839.35,970188.11,2,1,Male,"Lawrence Sanchez",Institutional,No
IND93920,"Paul Riley",22,23157,11/11/16,"Bobby Burton",European,"Statistician i",Mid,Jade,108847.47,7393.47,1,2935.23,129402.67,257681.31,177419.92,294010.15,18533.78,640916.4,3,2,Female,"Peter Castillo","Private Bank",No
IND18628,"Patrick Ruiz",36,3323,29/01/21,"Joshua Little",Asian,"Accountant ii",High,Platinum,93309.6,22124.7,2,937.31,695931.26,858197.4,319474.94,168820.58,30101.04,935708.81,3,1,Female,"Victor Gutierrez",Commercial,No
IND42134,"Ann Henderson",35,37517,27/11/06,"Paul Holmes",American,"Biostatistician iii",Low,Silver,131076.39,13731.44,1,6092.06,256672.86,325915.34,109714.07,159730.79,53942.1,1750716.49,2,3,Female,"Daniel Carroll",Retail,No
IND92265,"George Nguyen",84,29835,21/04/01,"Benjamin Kim",Asian,"Information systems manager",Mid,Jade,83441.32,2173.28,1,862.35,322636.11,198962.55,37398.97,133514.34,1917.33,432785.25,1,1,Female,"Carl Anderson",Retail,No
IND77317,"Michael Perkins",48,14844,04/08/21,"Frank Brown",European,"Programmer analyst ii",Mid,Platinum,359386.37,4756.08,1,2420.87,1546378.41,1190649.75,872458.87,163201.13,75357.4,168061.17,2,3,Female,"Nicholas Ward",Retail,Yes
IND60176,"Eugene Ryan",25,41105,31/07/11,"Joshua Bennett",Asian,"Accounting assistant iv",Mid,Jade,113118.57,12160.5,2,1536.54,641964.66,1029868.13,340871.85,349792.54,6328.91,433718.35,3,1,Male,"Fred Bryant",Institutional,No
IND51597,"Janet Gordon",20,26593,10/07/08,"Jesse Evans",European,"Programmer analyst iv",Low,Platinum,110102.32,12255.54,1,1513.51,37756.8,136175.35,151887.89,91289.86,5837.49,469924.54,1,2,Male,"Ryan Taylor",Institutional,No
IND33238,"Ruby Oliver",79,26406,07/08/04,"Anthony Torres",European,"Health coach iv",Low,Jade,343198.66,27522.88,1,4049.93,140800.99,758995.41,582243.06,306509.38,11408.94,637394.98,0,3,Female,"Sean Vasquez","Private Bank",No
IND18364,"Peter Riley",24,14468,04/06/21,"Stephen Payne",European,"Computer systems analyst iv",Mid,Gold,139310.32,37632.9,3,2109.05,252780.62,94179.54,113664.97,26792.46,10164.28,303349.11,2,2,Male,"Nicholas Morrison","Private Bank",No
IND92467,"Philip Hanson",32,41694,30/01/17,"Jonathan Hawkins",Asian,"Speech pathologist",Mid,Silver,89269.83,18376.2,3,329.22,32037.08,199933.91,199933.91,152113.65,1727.52,154043.36,3,1,Female,"Jack Phillips","Private Bank",No
IND60476,"Carolyn Ross",76,37286,08/03/11,"Gregory Simmons",European,"Statistician iv",Low,Silver,75161.91,13911.24,2,2286.76,557461.27,25563.15,16645.77,11901.73,18131.52,491968.85,3,1,Female,"Juan Ramirez","Private Bank",No
IND61025,"Pamela Bailey",40,11151,10/08/00,"Mark Montgomery",Asian,Paralegal,Mid,Gold,124589.37,23297.54,1,468.2,124046.99,346256.75,400359.37,129413.46,22425.85,717391.36,0,2,Male,"Gregory Boyd","Private Bank",No
IND55955,"Shirley Chavez",43,20600,14/04/99,"Gregory Simmons",American,Editor,Mid,Silver,435632.17,37078.86,1,3008.92,424214.25,71187.94,76882.97,56978.82,10069.15,961426.38,0,4,Female,"Victor Dean","Private Bank",No
IND75964,"Daniel Harris",71,22925,10/09/18,"Phillip Peters",European,"Programmer analyst iv",High,Silver,88221.82,12126.95,1,5284.59,918742.14,542037,348097.16,156643.72,15380.77,1451850.52,3,2,Female,"Jeremy Porter","Private Bank",No
IND49363,"Phillip Morales",66,41568,23/08/21,"Phillip Peters",European,"Administrative officer",High,Silver,324199.84,27648.39,1,365.06,557907.89,507996.38,369451.91,74814.01,12758.36,359677.7,3,3,Male,"Eric Shaw",Commercial,No
IND93355,"Henry Wood",61,15256,07/08/03,"Joshua Bennett",European,"Health coach iii",Mid,Jade,282658.49,30651.24,1,10127.28,436116.47,989380.39,512232.4,227346.98,57308.34,588222.31,1,2,Female,"Joe Carroll",Retail,No
IND65845,"Norma Austin",24,8942,01/01/99,"Bruce Porter",African,"Administrative officer",High,Silver,274736.56,45424.8,2,641.87,702014.71,147575.13,105053.48,139270.9,30227.92,865724.13,0,2,Female,"Steve Sanchez",Institutional,No
IND26284,"Kathryn Johnson",23,31544,07/06/05,"Ernest Rivera",Asian,"Systems administrator iv",Mid,Gold,147339.86,27029.67,1,3638.15,245108.44,149314.45,121975.18,53879.38,4424.42,959192.19,0,2,Female,"Lawrence Sanchez","Private Bank",No
IND24774,"Dennis Berry",48,15098,01/11/21,"Raymond Alexander",Asian,"Budget/accounting analyst i",High,Jade,81683.44,23580.9,2,2171.31,418824.88,959454.45,644753.39,73686.1,37787.75,742030.19,1,1,Female,"Peter Castillo",Commercial,No
IND12731,"Rachel Adams",26,26908,04/01/02,"Frank Brown",Asian,"Senior financial analyst",High,Jade,76005.3,40640.6,2,5570.9,495739.92,606032.72,399981.6,103025.56,30266.72,172313.94,0,2,Female,"Victor Gutierrez",Retail,No
IND93115,"Adam Robertson",70,14612,15/12/03,"Paul Larson",European,"Software test engineer ii",Low,Gold,206026.56,3094.2,2,2470.82,818737.34,630729.9,411037.46,357177.38,23541.92,256471.12,3,2,Female,"Daniel Carroll",Retail,No
